team_id,team,confed,host,pot,projected_elo,rating_uncertainty,sirius_index,sirius_confidence,qualification_status,coach,captain,source_id,as_of
ARG,Argentina,CONMEBOL,1,1,1960,35,0.0,0.0,host_assumption,Lionel Scaloni,Cristian Romero,scenario,2026-08-31
ESP,España,UEFA,1,1,1985,30,0.0,0.0,host_assumption,Luis de la Fuente Castillo,Rodrigo Hernández Cascante,scenario,2026-08-17
FRA,Francia,UEFA,0,1,1950,32,0.0,0.0,projected,Zinedine Yazid Zidane,Kylian Mbappé Lottin,scenario,2026-08-17
ENG,Inglaterra,UEFA,0,1,1925,38,0.0,0.0,projected,Thomas Tuchel,Harry Edward Kane,scenario,2026-08-17
BRA,Brasil,CONMEBOL,0,1,1935,42,0.0,0.0,projected,Carlo Ancelotti,Marcos Aoás Corrêa,scenario,2026-08-17
GER,Alemania,UEFA,0,1,1885,45,0.0,0.0,projected,Jürgen Norbert Klopp,Joshua Walter Kimmich,scenario,2026-08-17
NED,Países Bajos,UEFA,0,1,1880,42,0.0,0.0,projected,Xavier Hernández Creus,Virgil van Dijk,scenario,2026-08-17
BEL,Bélgica,UEFA,0,1,1810,55,0.0,0.0,projected,Mark van Bommel,Youri Marion A. Tielemans,scenario,2026-08-17
POR,Portugal,UEFA,1,1,1905,40,0.0,0.0,host_assumption,Jorge Fernando Pinheiro de Jesus,Cristiano Ronaldo dos Santos Aveiro,scenario,2026-08-17
MAR,Marruecos,CAF,1,1,1840,45,0.0,0.0,host_assumption,Mohamed Ouahbi,Achraf Hakimi Mouh,scenario,2026-08-17
PAR,Paraguay,CONMEBOL,1,1,1710,65,0.0,0.0,host_assumption,Gustavo Julio Alfaro,Gustavo Raúl Gómez Portillo,scenario,2026-08-17
UR,Uruguay,CONMEBOL,1,1,1875,42,0.0,0.0,host_assumption,Diego Martín Forlán Corazo,Federico Santiago Valverde Dipetta,scenario,2026-08-17
MEX,México,CONCACAF,0,1,1780,55,0.0,0.0,projected,Rafael Márquez Álvarez,Por definir,scenario,2026-08-17
USA,Estados Unidos,CONCACAF,0,1,1790,52,0.0,0.0,projected,Mauricio Pochettino Trossero,Timothy Michael Ream,scenario,2026-08-17
JPN,Japón,AFC,0,1,1815,45,0.0,0.0,projected,Hajime Moriyasu,Kō Itakura,scenario,2026-08-17
SEN,Senegal,CAF,0,1,1785,50,0.0,0.0,projected,Patrick Vieira,Kalidou Koulibaly,scenario,2026-08-17
ITA,Italia,UEFA,0,2,1845,48,0.0,0.0,projected,Por definir,Por definir,scenario,2026-08-17
CRO,Croacia,UEFA,0,2,1815,50,0.0,0.0,projected,Slaven Bilić,Luka Modrić,scenario,2026-08-17
COL,Colombia,CONMEBOL,0,2,1835,45,0.0,0.0,projected,Néstor Gabriel Lorenzo,James David Rodríguez Rubio,scenario,2026-08-17
ECU,Ecuador,CONMEBOL,0,2,1785,45,0.0,0.0,projected,Por definir,Por definir,scenario,2026-08-17
DEN,Dinamarca,UEFA,0,2,1780,52,0.0,0.0,projected,Brian Riemer,Morten Hjulmand,scenario,2026-08-17
SUI,Suiza,UEFA,0,2,1795,48,0.0,0.0,projected,Murat Yakin,Granit Xhaka,scenario,2026-08-17
KOR,Corea del Sur,AFC,0,2,1755,50,0.0,0.0,projected,Por definir,Son Heung-min,scenario,2026-08-17
IRN,Irán,AFC,0,2,1740,52,0.0,0.0,projected,Amir Ghalenoei,Mehdi Taremi,scenario,2026-08-17
CAN,Canadá,CONCACAF,0,2,1735,58,0.0,0.0,projected,Jesse Marsch,Alphonso Boyle Davies,scenario,2026-08-17
NGA,Nigeria,CAF,0,2,1745,60,0.0,0.0,projected,Éric Sékou Chelle,Wilfred Ndidi,scenario,2026-08-17
EGY,Egipto,CAF,0,2,1730,55,0.0,0.0,projected,Hossam Hassan,Mohamed Salah,scenario,2026-08-17
ALG,Argelia,CAF,0,2,1720,58,0.0,0.0,projected,Por definir,Por definir,scenario,2026-08-17
AUS,Australia,AFC,0,2,1715,52,0.0,0.0,projected,Tony Popovic,Mathew David Ryan,scenario,2026-08-17
KSA,Arabia Saudita,AFC,0,2,1675,60,0.0,0.0,projected,Georgios Donis,Salem Al-Dawsari,scenario,2026-08-17
PAN,Panamá,CONCACAF,0,2,1685,58,0.0,0.0,projected,Thomas Christiansen Tarín,Aníbal Cesis Godoy Lemus,scenario,2026-08-17
CIV,Costa de Marfil,CAF,0,2,1735,58,0.0,0.0,projected,Hervé Renard,Franck Kessié,scenario,2026-08-17
AUT,Austria,UEFA,0,3,1765,50,0.0,0.0,projected,Ralf Rangnick,David Alaba,scenario,2026-08-17
TUR,Turquía,UEFA,0,3,1745,58,0.0,0.0,projected,Vincenzo Montella,Hakan Çalhanoğlu,scenario,2026-08-17
SRB,Serbia,UEFA,0,3,1715,58,0.0,0.0,projected,Veljko Paunović,Aleksandar Mitrović,scenario,2026-08-17
NOR,Noruega,UEFA,0,3,1770,55,0.0,0.0,projected,Ståle Solbakken,Erling Braut Haaland,scenario,2026-08-17
UKR,Ucrania,UEFA,0,3,1705,62,0.0,0.0,projected,Andrea Maldera,Mykola Matviyenko,scenario,2026-08-17
CHI,Chile,CONMEBOL,0,3,1685,65,0.0,0.0,projected,Por definir,Arturo Erasmo Vidal Pardo,scenario,2026-08-17
